instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
BSE_INDEX|INDSTR,41,,INDSTR,12929.81,,,,,INDEX,,BSE_INDEX
BSE_INDEX|ALLCAP,36,,ALLCAP,9359.5,,,,,INDEX,,BSE_INDEX
BSE_INDEX|SMLCAP,31,,SMLCAP,45450.47,,,,,INDEX,,BSE_INDEX
BSE_INDEX|BSEFMC,32,,BSEFMC,19023.16,,,,,INDEX,,BSE_INDEX
BSE_INDEX|REALTY,21,,REALTY,7336.58,,,,,INDEX,,BSE_INDEX
BSE_INDEX|SMEIPO,27,,SMEIPO,61980.65,,,,,INDEX,,BSE_INDEX
BSE_INDEX|LRGCAP,42,,LRGCAP,8608.87,,,,,INDEX,,BSE_INDEX
BSE_INDEX|BSE500,4,,BSE500,32097.36,,,,,INDEX,,BSE_INDEX
BSE_INDEX|FINSER,40,,FINSER,10365.13,,,,,INDEX,,BSE_INDEX
BSE_INDEX|AUTO,13,,AUTO,48941.96,,,,,INDEX,,BSE_INDEX
BSE_INDEX|BSECD,8,,BSECD,51977.55,,,,,INDEX,,BSE_INDEX
BSE_INDEX|MFG,35,,MFG,979.57,,,,,INDEX,,BSE_INDEX
BSE_INDEX|OILGAS,15,,OILGAS,28281.36,,,,,INDEX,,BSE_INDEX
BSE_INDEX|UTILS,46,,UTILS,5699.77,,,,,INDEX,,BSE_INDEX
BSE_INDEX|GREENX,25,,GREENX,6483.22,,,,,INDEX,,BSE_INDEX
BSE_INDEX|MIDSEL,43,,MIDSEL,14247.09,,,,,INDEX,,BSE_INDEX
BSE_INDEX|BSEHC,33,,BSEHC,34575.56,,,,,INDEX,,BSE_INDEX
BSE_INDEX|ENERGY,39,,ENERGY,12154.9,,,,,INDEX,,BSE_INDEX
BSE_INDEX|SMLSEL,44,,SMLSEL,6766.26,,,,,INDEX,,BSE_INDEX
BSE_INDEX|SENSEX,1,,SENSEX,72488.99,,,,,INDEX,,BSE_INDEX
BSE_INDEX|MIDCAP,30,,MIDCAP,40159.66,,,,,INDEX,,BSE_INDEX
BSE_INDEX|CONDIS,38,,CONDIS,8718.4,,,,,INDEX,,BSE_INDEX
BSE_INDEX|COMDTY,37,,COMDTY,6854.7,,,,,INDEX,,BSE_INDEX
BSE_INDEX|BANKEX,12,,BANKEX,53178.34,,,,,INDEX,,BSE_INDEX
BSE_INDEX|CPSE,29,,CPSE,3657.81,,,,,INDEX,,BSE_INDEX
BSE_INDEX|TECK,11,,TECK,15778.07,,,,,INDEX,,BSE_INDEX
BSE_INDEX|POWER,22,,POWER,6929.32,,,,,INDEX,,BSE_INDEX
BSE_INDEX|BSECG,7,,BSECG,61156.62,,,,,INDEX,,BSE_INDEX
BSE_INDEX|CARBON,26,,CARBON,3754.32,,,,,INDEX,,BSE_INDEX
BSE_INDEX|BSE200,3,,BSE200,10049.61,,,,,INDEX,,BSE_INDEX
BSE_INDEX|BSE100,2,,BSE100,23072.88,,,,,INDEX,,BSE_INDEX
BSE_INDEX|TELCOM,45,,TELCOM,2602.02,,,,,INDEX,,BSE_INDEX
BSE_INDEX|BSEIPO,23,,BSEIPO,13830.97,,,,,INDEX,,BSE_INDEX
BSE_INDEX|BSEIT,34,,BSEIT,34333.25,,,,,INDEX,,BSE_INDEX
BSE_INDEX|INFRA,28,,INFRA,577.31,,,,,INDEX,,BSE_INDEX
BSE_INDEX|METAL,14,,METAL,29988.29,,,,,INDEX,,BSE_INDEX
BSE_INDEX|BSEPSU,10,,BSEPSU,18782.48,,,,,INDEX,,BSE_INDEX
BSE_INDEX|SENSEX50,47,,SENSEX50,0,,,,,INDEX,,BSE_INDEX
BSE_EQ|INE008B01013,524288,AIMCOPEST,AIMCO PESTICIDES LTD,104.45,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE916DA7SD0,974591,792KMPL25,KMPL792201125PVT,100000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE148I07SJ2,939353,902IHFL27,IHFL90226327NCD,1000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE499G01013,524314,GUJTERC,GUJARAT TERCE LABORATORIES LTD,66.64,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE999H07082,974380,7LKCP26A,LKCPL7261026PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE573R01012,524324,SEYAIND,SEYA INDUSTRIES LTD,23.9,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE704P01025,540678,COCHINSHIP,COCHIN SHIPYARD LIMITED,1287.45,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE785A01026,524330,JAYAGROGN,JAYANT AGROORGANICS LTD,245.35,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE412G01024,524332,BCLIND,BCL INDUSTRIES LIMITED,55.97,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE733E07KL3,958879,732NTPC29,NTPC73217729PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE065E01017,524336,SHHARICH,SHREE HARI CHEMICALS EXPORT LT,77.5,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE880L01014,540680,KIOCL,KIOCL LIMITED,461.9,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE148I07639,950322,1015IBHF24,IBHFL10155624PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE803D01021,524342,INDOBORAX,INDO BORAX  CHEMICALS LTD,173.25,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE163N08115,959105,88OPAL25,OPAL88310032025PVT,1019920,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE148I07SP9,939359,965IHFL29,IHFL96526329NCD,1000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE767A01016,524348,AARTIDRUGS,AARTI DRUGS LTD,490.75,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE148I07SS3,939361,1015IHFL29,IHFL101526329NCD,975,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE338D01028,524370,BODALCHEM,BODAL CHEMICALS LTD,76.03,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE020B08BO2,958661,83REC29,RECL8325319PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE191A01027,524372,ORCHPHARMA,ORCHID PHARMA LIMITED,1019.3,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE235P07035,950360,970LTF24,LTF9710624PVT,2500000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE040A08476,950373,924HDFCB24,HDFCB924M00924624PVT,1000000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE985V07066,974844,950AFL26,AFPL95015526PVT,100000,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE579C01029,524394,VIMTALABS,VIMTA LABS LTD,508.7,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE829A01014,524396,BIOFILCHEM,BIOFIL CHEMICALS  PHARMACEUTI,68.2,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE806D01016,524400,ISHITADR,ISHITA DRUGS  INDUSTRIES LTD,68.4,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE750C01026,524404,MARKSANS,MARKSANS PHARMA LTD,163.8,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE113E01015,524408,UNIVSTAR,UNIVERSAL STARCHCHEM ALLIED L,176.55,,,0.05,1,EQUITY,,BSE_EQ
BSE_EQ|INE198H01019,524412,AAREYDRUGS,AAREY DRUGS  PHARMACEUTICALS,54.5,,,0.01,1,EQUITY,,BSE_EQ
BSE_EQ|INE744C01029,524414,NORRIS,NORRIS MEDICINES LTD,12.19,,,0.01,1,EQUITY,,BSE_EQ
